positiv,komparativ,superlativ
unbegründet,unbegründeter,am unbegründetsten
sublingual,—,—
ausgezeichnet,—,—
grobianisch,grobianischer,am grobianischsten
langohrig,langohriger,am langohrigsten
neoklassisch,—,—
subtil,subtiler,am subtilsten
knallrot,—,—
bemähnt,—,—
elektronegativ,elektronegativer,am elektronegativsten
großdeutsch,—,—
jahreszeitlich,—,—
topfförmig,—,—
kuchenähnlich,—,—
neunte,—,—
eucharistisch,—,—
unbestimmbar,unbestimmbarer,am unbestimmbarsten
stimmungsabhängig,—,—
administrativ,—,—
missfällig,missfälliger,am missfälligsten
hieratisch,hieratischer,am hieratischsten
dreitäglich,—,—
friedsam,friedsamer,am friedsamsten
sonntägig,—,—
antinomisch,—,—
loden,—,—
christkatholisch,—,—
schuppig,schuppiger,am schuppigsten
kreisfrei,—,—
gesteuert,—,—
wohlbestallt,wohlbestallter,am wohlbestalltesten
rassisch,—,—
transphobisch,—,—
ehrbar,ehrbarer,am ehrbarsten
bestreitbar,—,—
einwöchig,—,—
kitzelig,kitzeliger,am kitzeligsten
feuerfest,feuerfester,am feuerfestesten
gebirgig,gebirgiger,am gebirgigsten
prominent,prominenter,am prominentesten
waffenlos,—,—
sachsen-anhaltinisch,—,—
synchron,—,—
kostenlos,—,—
basten,—,—
–,—,am allerheiligsten
hocknstad,—,—
mendelsch,—,—
schöpferisch,schöpferischer,am schöpferischsten
unumwunden,—,—
perioperativ,—,—
gutgelaunt,besser gelaunt,bestgelaunt
intermenstruell,—,—
namenlos,namenloser,am namenlosesten
ärztlich,—,—
spinnert,spinnerter,am spinnertsten
verpestet,—,—
oliv,—,—
mehrperspektivisch,—,—
unzweckmäßig,unzweckmäßiger,am unzweckmäßigsten
paternalistisch,paternalistischer,am paternalistischsten
leprös,—,—
nassklebend,—,—
dortig,—,—
hoch,höher,am höchsten
ölartig,ölartiger,am ölartigsten
oophoritisch,—,—
zweihundertste,—,—
verschwägert,—,—
nordwesteuropäisch,nordwesteuropäischer,am nordwesteuropäischsten
indoarisch,—,—
zahlreich,zahlreicher,am zahlreichsten
quietschlebendig,—,—
berüchtigt,berüchtigter,am berüchtigtsten
klassistisch,—,—
gescheit,gescheiter,am gescheitesten
erzogen,—,—
salonfähig,salonfähiger,am salonfähigsten
polymorph,—,—
wasserarm,wasserärmer,am wasserärmsten
risikobereit,risikobereiter,am risikobereitesten
außerschulisch,—,—
futschikato,—,—
kühl,kühler,am kühlsten
naturgetreu,naturgetreuer,am naturgetreuestenam naturgetreusten
extratemporal,—,—
unauffindbar,—,—
sturmschnell,—,—
undosierbar,—,—
überrumpelt,—,—
konditional,—,—
behindert,behinderter,am behindertsten
entartet,—,—
gradweise,—,—
kakophonisch,—,—
therapierbar,—,—
angewinkelt,—,—
maghrebinisch,maghrebinischer,am maghrebinischsten
akzeptabel,akzeptabler,am akzeptabelsten
degressiv,degressiver,am degressivsten
schneearm,schneeärmer,am schneeärmsten
schwätzicht,schwätzichter,am schwätzichtsten
absurd,absurder,am absurdesten
mongolid,mongolider,am mongolidesten
heimlich,heimlicher,am heimlichsten
durchschaubar,durchschaubarer,am durchschaubarsten
fortgeschritten,fortgeschrittener,am fortgeschrittensten
simpel,simpler,am simpelsten
D-Zug-artig,—,—
indigniert,indignierter,am indigniertesten
plan,planer,am plansten
schwerhörig,schwerhöriger,am schwerhörigsten
lymphatisch,—,—
anständig,anständiger,am anständigsten
bissig,bissiger,am bissigsten
drahten,—,—
fremdbestimmt,fremdbestimmter,am fremdbestimmtesten
optativ,—,—
slowakisch,slowakischer,am slowakischsten
mildtätig,mildtätiger,am mildtätigsten
akatalektisch,—,—
geordnet,geordneter,am geordnetsten
behandelbar,—,—
eventual,—,—
unchillig,—,—
problematisch,problematischer,am problematischsten
viergeteilt,—,—
streichbar,—,—
außenbürtig,—,—
kupferhaltig,—,—
nichtswürdig,nichtswürdiger,am nichtswürdigsten
jämmerlich,jämmerlicher,am jämmerlichsten
aufnahmsfähig,aufnahmsfähiger,am aufnahmsfähigsten
ekelerregend,ekelerregender,am ekelerregendsten
redegewaltig,redegewaltiger,am redegewaltigsten
klimakompensiert,—,—
zyklopisch,zyklopischer,am zyklopischsten
verlierbar,—,—
oberösterreichisch,—,—
großstädtisch,großstädtischer,am großstädtischsten
integrierbar,—,—
unverhohlen,unverhohlener,am unverhohlensten
pfeilförmig,—,—
lobesam,lobesamer,am lobesamsten
mysteriös,mysteriöser,am mysteriösesten
differentiell,—,—
homolog,—,—
verwunderlich,verwunderlicher,am verwunderlichsten
premium,—,—
vorschriftswidrig,—,—
rückschrittlich,rückschrittlicher,am rückschrittlichsten
bahnhofsnah,bahnhofsnäher,am bahnhofsnächsten
galant,galanter,am galantesten
wuchtig,wuchtiger,am wuchtigsten
reaktionär,reaktionärer,am reaktionärsten
bevorzugt,—,—
katharisch,—,—
gewillkürt,—,—
erklärbar,—,—
postoperativ,—,—
weinsauer,—,—
apollinisch,apollinischer,am apollinischsten
eineindeutig,—,—
fleischlos,—,—
fünfjährig,—,—
porös,poröser,am porösesten
wehrlos,wehrloser,am wehrlosesten
routinemäßig,routinemäßiger,am routinemäßigsten
ergänzungsbedürftig,ergänzungsbedürftiger,am ergänzungsbedürftigsten
kristallen,—,—
azinös,—,—
geruchfrei,—,—
xanthoderm,—,—
pyroklastisch,—,—
feindlich,feindlicher,am feindlichsten
bereichsübergreifend,—,—
listrisch,—,—
halblaut,—,—
inkomparabel,—,—
chininhaltig,—,—
—,—,am zweitgrößten
unerschwinglich,unerschwinglicher,am unerschwinglichsten
verwaist,verwaister,am verwaistesten
nullkommajosef,—,—
metrisch,—,—
himmelangst,—,—
unwidersprochen,—,—
partial,partialer,am partialsten
bremisch,—,—
zylinderförmig,—,—
verlogen,verlogener,am verlogensten
obgenannt,—,—
großtechnisch,—,—
integriert,integrierter,am integriertesten
lobenswert,lobenswerter,am lobenswertesten
myrmekologisch,—,—
unverhältnismäßig,unverhältnismäßiger,am unverhältnismäßigsten
pfeilschnell,—,—
verwundet,—,—
homolytisch,—,—
differential,—,—
bahnbrechend,bahnbrechender,am bahnbrechendsten
prekär,prekärer,am prekärsten
vorschriftsmäßig,vorschriftsmäßiger,am vorschriftsmäßigsten
rückläufig,rückläufiger,am rückläufigsten
galaktisch,galaktischer,am galaktischsten
kathartisch,kathartischer,am kathartischsten
bevorrangt,—,—
wrack,wracker,am wracksten
reagibel,reagibler,am reagibelsten
postnatal,—,—
weinrot,—,—
erklärlich,erklärlicher,am erklärlichsten
gewiegt,gewiegter,am gewiegtesten
eineiig,—,—
apolitisch,apolitischer,am apolitischsten
fünfjährlich,—,—
fleischig,fleischiger,am fleischigsten
azoisch,—,—
ergründbar,—,—
krisslig,krissliger,am krissligsten
positionsgetreu,—,—
wehrmedizinisch,—,—
routiniert,routinierter,am routiniertesten
geruchlich,—,—
bereift,—,—
feindbildlos,—,—
xenoblastisch,—,—
pyromanisch,—,—
halbkugelig,—,—
litauisch,litauischer,am litauischsten
chionophil,—,—
inkommod,—,—
dienlich,dienlicher,am dienlichsten
metrologisch,—,—
unerschöpflich,unerschöpflicher,am unerschöpflichsten
zweiteilig,—,—
verwahrlost,verwahrloster,am verwahrlostesten
nulldimensional,—,—
himbeerrot,—,—
bremsbereit,—,—
unwiderruflich,unwiderruflicher,am unwiderruflichsten
parthisch,—,—
kühlgemäßigt,—,—
naturhistorisch,—,—
unauffällig,unauffälliger,am unauffälligsten
sturmsicher,sturmsicherer,am sturmsichersten
extraterrestrisch,—,—
behilflich,behilflicher,am behilflichsten
konfessionslos,—,—
undressierbar,—,—
überschaubar,überschaubarer,am überschaubarsten
therapieresistent,—,—
graduell,—,—
entbehrlich,entbehrlicher,am entbehrlichsten
kakifarben,—,—
magersüchtig,—,—
angewiesen,—,—
schneckenförmig,—,—
degoutant,degoutanter,am degoutantesten
akzentfrei,—,—
monetär,—,—
abstrus,abstruser,am abstrusesten
schwärzlich,schwärzlicher,am schwärzlichsten
similär,—,—
durchlöchert,—,—
heimtückisch,heimtückischer,am heimtückischsten
forstwirtschaftlich,—,—
schwerkriegsbeschädigt,—,—
plakativ,plakativer,am plakativsten
indigen,—,—
dadaistisch,dadaistischer,am dadaistischsten
anstößig,anstößiger,am anstößigsten
Lyoner,—,—
bissfest,bissfester,am bissfestesten
slowenisch,slowenischer,am slowenischsten
opportunistisch,opportunistischer,am opportunistischsten
drahtig,drahtiger,am drahtigsten
fremdenfeindlich,fremdenfeindlicher,am fremdenfeindlichsten
akausal,—,—
milieubedingt,—,—
problemlos,—,—
unbürokratisch,unbürokratischer,am unbürokratischsten
strebsam,strebsamer,am strebsamsten
vierhändig,—,—
evasiv,evasiver,am evasivsten
georgisch,—,—
behandlungsbedürftig,behandlungsbedürftiger,am behandlungsbedürftigsten
kupferfarben,—,—
außendienstlich,—,—
jüdisch,jüdischer,am jüdischsten
nichtständig,—,—
redegewandt,redegewandter,am redegewandtesten
togolesisch,—,—
Ekel erregend,—,—
aufopferungsvoll,aufopferungsvoller,am aufopferungsvollsten
klimafreundlich,klimafreundlicher,am klimafreundlichsten
gestiefelt,—,—
kreidezeitlich,—,—
ehern,eherner,am ehernsten
bestrenommiert,—,—
transphob,—,—
wohldurchdacht,wohldurchdachter,am wohldurchdachtesten
rassistisch,rassistischer,am rassistischsten
einwöchentlich,—,—
gebleicht,gebleichter,am gebleichtesten
kitschig,kitschiger,am kitschigsten
feuerfarben,—,—
bastfarben,—,—
kostengünstig,kostengünstiger,am kostengünstigsten
promisk,promisker,am promiskesten
symptomlos,—,—
waffenscheinfrei,—,—
sachsen-anhaltisch,—,—
Mendel’sch,—,—
allerletzte,—,—
hockenstad,—,—
unumstößlich,unumstößlicher,am unumstößlichsten
periodisch,—,—
schüchtern,schüchterner,am schüchternsten
guterhalten,besser erhalten,besterhalten
namentlich,—,—
buchen,—,—
intermenstrual,—,—
mehrreihig,—,—
ärmlich,ärmlicher,am ärmlichsten
verpeilt,verpeilter,am verpeiltesten
oligozän,—,—
spinös,spinöser,am spinösesten
leprakrank,—,—
nasskalt,nasskälter,am nasskältesten
unzweideutig,unzweideutiger,am unzweideutigsten
pathetisch,pathetischer,am pathetischsten
ölhaltig,—,—
oophorogen,—,—
hoch dosiert,—,—
dorsal,dorsaler,am dorsalsten
zweihändig,—,—
verschämt,verschämter,am verschämtesten
nordwestlich,nordwestlicher,am nordwestlichsten
habsüchtig,habsüchtiger,am habsüchtigsten
indoeuropäisch,—,—
klassizistisch,klassizistischer,am klassizistischsten
beruhigend,beruhigender,am beruhigendsten
zahllos,—,—
quietschfidel,—,—
salomonisch,salomonischer,am salomonischsten
erzreich,erzreicher,am erzreichsten
-,-,-
außerplanmäßig,—,—
polyglott,—,—
wasserabweisend,wasserabweisender,am wasserabweisendsten
risikoavers,risikoaverser,am risikoaversesten
futsch,—,—
siebzigste,—,—
urindoeuropäisch,—,—
dunkelhäutig,—,—
fluchtwillig,fluchtwilliger,am fluchtwilligsten
biliär,—,—
achteckig,—,—
illegitim,—,—
modifizierbar,—,—
schnäukig,schnäukiger,am schnäukigsten
unmenschlich,unmenschlicher,am unmenschlichsten
saumselig,saumseliger,am saumseligsten
hörbehindert,—,—
demoskopisch,—,—
angeboren,—,—
heteroklitisch,—,—
mamertinisch,—,—
borstig,borstiger,am borstigsten
weißgolden,—,—
teleologisch,—,—
enaktiv,—,—
kollektiv,—,—
genehmigungsfähig,—,—
überdrüssig,überdrüssiger,am überdrüssigsten
zentrifugal,zentrifugaler,am zentrifugalsten
unbegründbar,unbegründbarer,am unbegründbarsten
subliminal,—,—
fahrtauglich,fahrtauglicher,am fahrtauglichsten
gelenkig,gelenkiger,am gelenkigsten
langobardisch,—,—
ausgiebig,ausgiebiger,am ausgiebigsten
grobklotzig,grobklotziger,am grobklotzigsten
neofaschistisch,neofaschistischer,am neofaschistischsten
bemoost,bemooster,am bemoostesten
knapp,knapper,am knappsten
subtropisch,subtropischer,am subtropischsten
topfit,—,—
großbürgerlich,großbürgerlicher,am großbürgerlichsten
elektronenmikroskopisch,—,—
jahrelang,—,—
kugelförmig,—,—
—,—,am neuntgrößten
unbestimmt,unbestimmter,am unbestimmtesten
stimmungsmäßig,—,—
eugenetisch,—,—
missbräuchlich,—,—
adlig,adliger,am adligsten
sonnig,sonniger,am sonnigsten
dreitägig,—,—
hieroglyphisch,—,—
friedliebend,friedliebender,am friedliebendsten
lockig,lockiger,am lockigsten
antimykotisch,—,—
schuppenförmig,—,—
chorisch,—,—
verquer,verquerer,am verquersten
okay,—,—
ältlich,ältlicher,am ältlichsten
mehrteilig,—,—
bundesdeutsch,—,—
international,—,—
gustativ,—,—
unübertrefflich,—,—
untreu,untreuer,am untreuestenam untreusten
periphrastisch,—,—
hochsprachlich,—,—
wabenförmig,—,—
sackartig,sackartiger,am sackartigsten
programmierbar,—,—
barock,barocker,am barocksten
kosmopolitisch,—,—
geachtet,geachteter,am geachtetsten
feuchtkalt,—,—
eisenbeschlagen,—,—
zehnminütig,—,—
wohlgesinnt,wohlgesinnter,am wohlgesinntesten
ranzig,ranziger,am ranzigsten
beständig,beständiger,am beständigsten
geständig,—,—
furchtlos,furchtloser,am furchtlosesten
arbeitslos,—,—
waschecht,waschechter,am waschechtesten
rituell,ritueller,am rituellsten
polychron,—,—
erdgroß,—,—
außergewöhnlich,—,—
essayistisch,—,—
geschlossen,geschlossenergeschlossner,am geschlossensten
zapfenartig,—,—
quelloffen,—,—
feststehend,—,—
klatschnass,—,—
bescheiden,bescheidener,am bescheidensten
infam,infamer,am infamsten
liechtensteinisch,—,—
Habelschwerdter,—,—
verspätet,verspäteter,am verspätetsten
nordostatlantisch,—,—
zweifelsfrei,—,—
unempathisch,unempathischer,am unempathischsten
dezentral,dezentraler,am dezentralsten
HIV-negativ,—,—
doppelläufig,—,—
unzuständig,—,—
patschert,patscherter,am patschertsten
brünstig,brünstiger,am brünstigsten
namhaft,namhafter,am namhaftesten
leserlich,leserlicher,am leserlichsten
trainingswissenschaftlich,—,—
neoliberal,—,—
landläufig,landläufiger,am landläufigsten
ausgetreten,ausgetretenerausgetretner,am ausgetretensten
fahl,fahler,am fahlsten
geldlich,—,—
submers,—,—
unbeeinflusst,—,—
überfallsartig,—,—
kombinierbar,—,—
endgültig,—,—
temporeich,temporeicher,am temporeichsten
sowjetisch,sowjetischer,am sowjetischsten
bombig,bombiger,am bombigsten
androgyn,androgyner,am androgynsten
manganhaltig,—,—
ibizenkisch,—,—
dendrochronologisch,—,—
schofelig,schofeliger,am schofeligsten
achtjährig,—,—
mitverantwortlich,—,—
flächengleich,—,—
10-seitig,—,—
antragsgemäß,—,—
duftig,duftiger,am duftigsten
siebenwöchig,—,—
cis,—,—
photogen,photogener,am photogensten
schwank,schwanker,am schwanksten
lombardisch,lombardischer,am lombardischsten
antimanisch,—,—
frohgemut,frohgemuter,am frohgemutesten
dreist,dreister,am dreistesten
heteronom,heteronomer,am heteronomsten
orkanartig,—,—
sonnengebräunt,sonnengebräunter,am sonnengebräuntesten
misandrisch,misandrischer,am misandrischsten
affabel,affabler,am affabelsten
befremdend,—,—
ethnologisch,—,—
verzweigt,verzweigter,am verzweigtesten
unbesorgt,unbesorgter,am unbesorgtesten
praktikabel,praktikabler,am praktikabelsten
neunzigste,—,—
juchten,—,—
kubisch,—,—
ithyphallisch,—,—
großherzig,großherziger,am großherzigsten
ausgebucht,—,—
elffach,—,—
tot,toter,am totesten
regressiv,—,—
benennbar,—,—
knollenförmig,—,—
krisselig,krisseliger,am krisseligsten
erhaben,erhabener,am erhabensten
gewandt,gewandter,am gewandtesten
wortgewaltig,wortgewaltiger,am wortgewaltigsten
rebsortenrein,—,—
trillionste,—,—
katalektisch,—,—
beugbar,—,—
eigennützig,eigennütziger,am eigennützigsten
kerzengrade,—,—
gambisch,—,—
vortrefflich,vortrefflicher,am vortrefflichsten
rückgratlos,—,—
super,—,—
prima,—,—
ballsicher,ballsichererballsichrer,am ballsichersten
alert,alerter,am alertesten
Hong Konger,—,—
metallhaltig,—,—
differenzierbar,—,—
sechzigfach,—,—
unvermittelt,—,—
petrologisch,—,—
myxödematös,—,—
literal,—,—
instrumentell,instrumenteller,am instrumentellsten
nachgefragt,nachgefragter,am nachgefragtesten
grätig,grätiger,am grätigsten
spaßig,spaßiger,am spaßigsten
obszön,obszöner,am obszönsten
zählbar,—,—
unwiederholbar,—,—
parlamentarisch,—,—
himmlisch,himmlischer,am himmlischsten
vertrackt,vertrackter,am vertracktesten
nunmehrig,—,—
zweitäglich,—,—
methodisch,methodischer,am methodischsten
chilenisch,chilenischer,am chilenischsten
ingeniös,ingeniöser,am ingeniösesten
halbstark,—,—
pflichtwidrig,pflichtwidriger,am pflichtwidrigsten
würzig,würziger,am würzigsten
pünktlich,pünktlicher,am pünktlichsten
benötigt,—,—
geriatrisch,—,—
wehrtüchtig,wehrtüchtiger,am wehrtüchtigsten
rotglühend,—,—
possibel,—,—
babyeierleicht,—,—
kryptographisch,—,—
fünfmonatig,—,—
floral,—,—
eindeutig,eindeutiger,am eindeutigsten
rechtspolitisch,—,—
bisherig,—,—
formidabel,formidabler,am formidabelsten
dusslig,dussliger,am dussligsten
heißgeliebt,—,—
varikös,—,—
sinnbetörend,—,—
monokausal,—,—
absolut,—,—
imponderabel,imponderabler,am imponderabelsten
deftig,deftiger,am deftigsten
